GEOID,B13016_001E,B13016_002E,B13016_003E,B13016_004E,B13016_005E,B13016_006E,B13016_007E,B13016_008E,B13016_009E,B13016_010E,B13016_011E,B13016_012E,B13016_013E,B13016_014E,B13016_015E,B13016_016E,B13016_017E
37019020516,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.0,7.0,60.0,63.0,117.0,32.0,100.0
37019020517,454.0,14.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,440.0,40.0,89.0,6.0,6.0,201.0,32.0,66.0
37019020518,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,20.0,77.0,18.0,59.0,25.0,0.0,110.0
37019020601,1157.0,72.0,0.0,12.0,60.0,0.0,0.0,0.0,0.0,1085.0,71.0,281.0,89.0,36.0,176.0,328.0,104.0
37019020602,1076.0,87.0,0.0,24.0,25.0,35.0,3.0,0.0,0.0,989.0,119.0,166.0,70.0,157.0,110.0,227.0,140.0
37019020603,629.0,38.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,591.0,98.0,12.0,35.0,192.0,65.0,96.0,93.0
37019990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37021000100,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,17.0,0.0,40.0,109.0,37.0,18.0,19.0
37021000200,432.0,22.0,0.0,12.0,0.0,0.0,10.0,0.0,0.0,410.0,15.0,17.0,64.0,200.0,69.0,31.0,14.0
37021000300,719.0,22.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,697.0,126.0,196.0,175.0,32.0,57.0,60.0,51.0
37021000400,1578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,609.0,440.0,250.0,60.0,80.0,49.0,90.0
37021000500,588.0,47.0,0.0,0.0,28.0,0.0,19.0,0.0,0.0,541.0,89.0,125.0,42.0,48.0,36.0,113.0,88.0
37021000600,528.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,516.0,29.0,86.0,73.0,73.0,50.0,76.0,129.0
37021000700,471.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,455.0,14.0,89.0,181.0,69.0,57.0,24.0,21.0
37021000800,918.0,37.0,0.0,14.0,0.0,0.0,23.0,0.0,0.0,881.0,104.0,80.0,137.0,149.0,45.0,231.0,135.0
37021000900,560.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,552.0,32.0,120.0,91.0,90.0,74.0,65.0,80.0
37021001000,1335.0,40.0,0.0,0.0,0.0,9.0,31.0,0.0,0.0,1295.0,83.0,121.0,199.0,268.0,233.0,254.0,137.0
37021001100,1675.0,47.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,1628.0,108.0,47.0,256.0,417.0,332.0,244.0,224.0
37021001200,1397.0,40.0,0.0,0.0,0.0,4.0,36.0,0.0,0.0,1357.0,196.0,161.0,192.0,204.0,228.0,28.0,348.0
37021001300,1352.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1322.0,88.0,123.0,114.0,307.0,202.0,300.0,188.0
37021001401,1443.0,281.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,1162.0,228.0,158.0,317.0,2.0,37.0,183.0,237.0
37021001402,793.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,767.0,20.0,51.0,173.0,253.0,103.0,35.0,132.0
37021001500,739.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,706.0,85.0,37.0,154.0,95.0,100.0,144.0,91.0
37021001601,904.0,29.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,875.0,168.0,13.0,211.0,114.0,54.0,128.0,187.0
37021001602,492.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,477.0,53.0,46.0,44.0,51.0,31.0,66.0,186.0
37021001700,694.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,685.0,193.0,52.0,5.0,56.0,88.0,79.0,212.0
37021001801,536.0,33.0,0.0,0.0,0.0,28.0,0.0,0.0,5.0,503.0,19.0,87.0,65.0,135.0,65.0,44.0,88.0
37021001802,1172.0,83.0,0.0,0.0,51.0,0.0,32.0,0.0,0.0,1089.0,147.0,87.0,135.0,213.0,141.0,160.0,206.0
37021001900,715.0,18.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,697.0,5.0,140.0,119.0,179.0,136.0,105.0,13.0
37021002000,1850.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1834.0,143.0,159.0,272.0,237.0,223.0,476.0,324.0
37021002101,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,115.0,27.0,2.0,18.0,43.0,37.0,91.0
37021002102,1483.0,59.0,0.0,0.0,20.0,18.0,21.0,0.0,0.0,1424.0,122.0,177.0,191.0,307.0,238.0,266.0,123.0
37021002203,1249.0,95.0,0.0,0.0,79.0,16.0,0.0,0.0,0.0,1154.0,37.0,113.0,213.0,103.0,313.0,90.0,285.0
37021002204,2164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164.0,176.0,123.0,152.0,631.0,355.0,305.0,422.0
37021002205,1572.0,164.0,0.0,49.0,0.0,52.0,63.0,0.0,0.0,1408.0,225.0,115.0,158.0,78.0,221.0,280.0,331.0
