GEOID,B08101_001E,B08101_002E,B08101_003E,B08101_004E,B08101_005E,B08101_006E,B08101_007E,B08101_008E,B08101_009E,B08101_010E,B08101_011E,B08101_012E,B08101_013E,B08101_014E,B08101_015E,B08101_016E,B08101_017E,B08101_018E,B08101_019E,B08101_020E,B08101_021E,B08101_022E,B08101_023E,B08101_024E,B08101_025E,B08101_026E,B08101_027E,B08101_028E,B08101_029E,B08101_030E,B08101_031E,B08101_032E,B08101_033E,B08101_034E,B08101_035E,B08101_036E,B08101_037E,B08101_038E,B08101_039E,B08101_040E,B08101_041E,B08101_042E,B08101_043E,B08101_044E,B08101_045E,B08101_046E,B08101_047E,B08101_048E,B08101_049E,B08101_050E,B08101_051E,B08101_052E,B08101_053E,B08101_054E,B08101_055E,B08101_056E
37155961000,662.0,12.0,75.0,255.0,150.0,52.0,62.0,56.0,539.0,7.0,69.0,220.0,126.0,46.0,39.0,32.0,84.0,5.0,6.0,13.0,24.0,6.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
37155961100,660.0,32.0,118.0,316.0,111.0,44.0,28.0,11.0,487.0,21.0,95.0,221.0,101.0,24.0,19.0,6.0,137.0,9.0,23.0,75.0,10.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,10.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0
37155961200,1033.0,34.0,128.0,488.0,235.0,18.0,71.0,59.0,924.0,34.0,89.0,443.0,231.0,18.0,63.0,46.0,92.0,0.0,39.0,45.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37155961301,1559.0,0.0,112.0,642.0,354.0,137.0,150.0,164.0,1425.0,0.0,112.0,569.0,342.0,108.0,137.0,157.0,36.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,91.0,0.0,0.0,49.0,0.0,29.0,13.0,0.0
37155961302,1979.0,56.0,154.0,882.0,429.0,217.0,156.0,85.0,1654.0,56.0,125.0,717.0,419.0,172.0,90.0,75.0,303.0,0.0,29.0,153.0,0.0,45.0,66.0,10.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37155961400,1341.0,40.0,107.0,524.0,319.0,127.0,136.0,88.0,1227.0,29.0,107.0,476.0,289.0,105.0,133.0,88.0,54.0,11.0,0.0,18.0,0.0,22.0,3.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
37155961500,2107.0,86.0,193.0,841.0,490.0,227.0,174.0,96.0,1924.0,51.0,192.0,764.0,457.0,207.0,174.0,79.0,151.0,35.0,0.0,77.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,14.0,0.0,0.0,17.0
37155961601,1670.0,38.0,164.0,783.0,313.0,198.0,89.0,85.0,1396.0,34.0,155.0,594.0,289.0,150.0,89.0,85.0,110.0,4.0,9.0,61.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,128.0,0.0,36.0,0.0,0.0
37155961602,1258.0,15.0,102.0,485.0,328.0,165.0,99.0,64.0,1163.0,5.0,100.0,451.0,289.0,155.0,99.0,64.0,74.0,10.0,2.0,23.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
37155961700,1667.0,28.0,109.0,711.0,402.0,219.0,113.0,85.0,1486.0,28.0,88.0,641.0,332.0,209.0,108.0,80.0,95.0,0.0,11.0,53.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,10.0,17.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,37.0,8.0,0.0,0.0
